collegeCode,collegeName,branchCode,branchName,year,capRound,category,stage,rank,percentile,seatLevel
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,GOPENS,I,40678,77.8495773,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,GSCS,I,55830,68.2985361,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,GSTS,I,86718,43.3167495,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,GVJS,I,45691,74.5106403,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,GNT1S,I,41586,77.0666918,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,GNT2S,I,51711,70.9263207,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,GNT3S,I,49334,72.5765063,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,GOBCS,I,46967,74.0962113,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,LOPENS,I,30535,83.4045178,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,LSCS,I,50420,71.6451268,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,LSTS,I,79098,50.9996691,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,LVJS,I,40679,77.8495773,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,LNT2S,I,72814,55.8902921,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,LOBCS,I,41709,77.0666918,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,DEFOPENS,I,88218,42.7946749,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,TFWS,I,19635,89.407761,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,DEFROBCS,I,98060,32.4992712,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2022,1,EWS,I,52672,70.2135829,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,DEFRSC,I,41139,77.1458362,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,EWS,I,17056,90.8078665,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,DEFRSC,I,10818,94.1471246,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,EWS,I,32400,82.424443,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,DEFRSC,I,15893,91.4761117,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,EWS,I,14019,92.4735769,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,DEFRSC,I,79110,50.9996691,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,EWS,I,15876,91.4761117,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,DEFRSC,I,79305,50.816249,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2022,1,EWS,I,23301,87.4346052,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,DEFROBCS,I,13932,92.5142196,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,EWS,I,44445,75.4846987,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,DEFROBCS,I,16510,91.1038771,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,EWS,I,20505,88.9823699,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,DEFROBCS,I,14435,92.2302228,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,EWS,I,31172,83.1650789,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,DEFROBCS,I,21744,88.2761636,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,EWS,I,17754,90.4382847,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,DEFROBCS,I,80636,49.0525702,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,EWS,I,24544,86.8356112,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,DEFROBCS,I,93664,37.5478565,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2022,1,EWS,I,28236,84.8614274,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,GOPENS,I,26610,85.6827453,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,GSCS,I,35923,80.5336015,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,GSTS,I,80097,49.556541,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,GVJS,I,48372,72.8897104,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,GNT1S,I,27089,85.4043578,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,GNT2S,I,36467,80.2656546,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,GNT3S,I,39928,78.1473584,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,GOBCS,I,30649,83.3246679,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,LOPENS,I,26549,85.6913808,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,LSCS,I,29692,84.0382056,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,LSTS,I,48168,72.8974176,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,LVJS,I,40479,77.9458986,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,LNT2S,I,28122,84.8685155,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,LOBCS,I,25800,86.1713847,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,PWDOPENS,I,54377,69.1685966,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,DEFOPENS,I,78548,51.2359011,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,TFWS,I,18803,89.9192371,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,DEFROBCS,I,110745,18.3037194,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2022,1,EWS,I,35192,80.8718313,State Level
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,2022,1,DEFROBCS,I,15492,91.6047864,State Level
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,2022,1,EWS,I,22933,87.6299679,State Level
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,2022,1,DEFROBCS,I,64864,61.8814494,State Level
