collegeCode,collegeName,branchCode,branchName,year,capRound,category,stage,rank,percentile,seatLevel
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,GOPENS,I,45820,80.7328826,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,GSCS,I,54803,76.6166542,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,GSTS,I,85528,58.7429854,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,GVJS,I,53198,76.9213416,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,GNT1S,I,55202,76.2843676,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,GNT2S,I,47207,79.8081214,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,GNT3S,I,58799,74.1935484,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,GOBCS,I,55212,76.2843676,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,LOPENS,I,39555,83.4053417,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,LSCS,I,58069,75.0737739,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,LSTS,I,81275,61.4332053,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,LVJS,I,55889,75.867353,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,LNT1S,I,71604,67.3938217,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,LNT2S,I,59895,73.642653,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,LNT3S,I,85506,58.7429854,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,LOBCS,I,50933,78.3308876,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,PWDOPENS,I,66222,70.5106049,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,DEFOPENS,I,114710,36.1619626,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,TFWS,I,25437,89.690179,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,2023,1,EWS,I,51497,78.067557,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,DEFROBCS,I,14995,94.0441452,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,EWS,I,42063,82.3107244,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,DEFROBCS,I,10351,95.9541871,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,EWS,I,13430,94.6808113,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,DEFROBCS,I,10052,96.0633178,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,EWS,I,15513,93.8260094,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,DEFROBCS,I,18093,92.733306,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,EWS,I,46043,80.6210251,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,DEFROBCS,I,41373,82.4643661,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,EWS,I,14766,94.1664477,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,DEFROBCS,I,45737,80.8641005,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,EWS,I,16792,93.2969235,State Level
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,2023,1,DEFROBCS,I,10297,95.9738402,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,GOPENS,I,10303,95.9738402,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,GSCS,I,18667,92.4862529,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,GSTS,I,43516,81.8534982,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,GVJS,I,23597,90.4575998,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,GNT1S,I,16268,93.521357,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,GNT2S,I,12552,95.0744473,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,GNT3S,I,16999,93.2108027,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,GOBCS,I,11044,95.6795422,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,LOPENS,I,21001,91.4895289,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,LSCS,I,55122,76.2843676,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,LSTS,I,16115,93.5868331,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,LNT1S,I,12233,95.2175544,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,LNT2S,I,10354,95.9541871,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,LOBCS,I,66253,70.5106049,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,PWDOPENS,I,30013,87.6984872,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,DEFOPENS,I,71173,67.711928,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,TFWS,I,30456,87.4817577,State Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,2023,1,PWD,I,12526,95.0827713,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2023,1,GOPENS,I,31193,87.2113119,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2023,1,GSCS,I,45777,80.7328826,State Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,2023,1,GSTS,I,92626,54.0043616,State Level
